Team,Pace,Offensive Rebound Rate,Defensive Rebound Rate,Rebound Rate,Offensive Efficiency,Defensive Efficiency,Year
LA Clippers,99.3,22.7,79.5,51.9,116.5,108.9,2021
Brooklyn,102,21.6,77.6,50.9,116.2,110.8,2021
Utah,101.2,25.2,78.7,53,115.6,105.8,2021
Denver,99.1,24.7,77.5,51.5,115,110.5,2021
Milwaukee,103.9,23.6,80.5,52.7,114.3,108.4,2021
Portland,100.4,22.9,76.3,48.7,113.9,114.9,2021
New Orleans,100.8,27,80,53.6,113.6,113.5,2021
Phoenix,99.2,20.2,78.7,50.2,112.8,106.9,2021
Sacramento,102.1,22.8,75.6,49,112.5,115.7,2021
Dallas,99.7,19.8,77.8,49.3,112.3,110.9,2021
Atlanta,99.9,25.6,76.8,51.7,112,110.7,2021
Boston,100.4,25,77.3,50.9,111.1,110.6,2021
Philadelphia,103,24.1,78.8,52.4,110.4,105,2021
Toronto,102.1,20.4,76,47.1,109.9,110.1,2021
Charlotte,101.5,23.5,76.8,49.8,109.2,110.4,2021
Indiana,102.6,19.9,76.6,47.9,109.1,109,2021
Chicago,102.7,22,79.3,51.3,108.6,109.8,2021
LA Lakers,101,22.6,79.8,51.9,108.6,103.6,2021
Memphis,103,24.2,80,51.1,107.9,107.6,2021
San Antonio,101.1,18.9,78.1,48,107.7,109.1,2021
Washington,106.6,20.1,77,48.4,107.6,111.5,2021
Golden State,104.8,17.2,76.1,46.9,107.3,108.1,2021
Miami,99.3,19.3,77,49.3,106.3,107.2,2021
New York,98.3,23.4,79.4,51.3,106.2,106.5,2021
Detroit,99.8,22.3,76.9,49,105.6,109.8,2021
Minnesota,104.1,22.3,75.7,47.9,104.3,111.7,2021
Orlando,100.5,21.8,80.2,50.1,103.4,110.3,2021
Houston,103.6,19.1,76.9,46.7,103.4,109.1,2021
Oklahoma City,102.1,18.3,78.3,48.5,103.3,109.3,2021
Cleveland,99.6,24.5,75.7,49.5,102,110.4,2021
Dallas,101.7,23.2,77.7,50.8,113.7,109.5,2020
Portland,103.2,22.4,75.3,49.2,111.1,111.8,2020
LA Clippers,104,23.5,77.6,51.3,111.1,105.3,2020
Milwaukee,107.2,20.7,81.6,53,110.5,100.6,2020
Boston,101.9,23.9,77.4,51,110.4,104.5,2020
San Antonio,102.6,20.1,79.2,49.6,110.4,110.9,2020
Houston,106.3,21,75.6,48,110.3,107.4,2020
Denver,99.5,24.9,76.8,50.9,110.1,108.6,2020
