,,,,Unad,Unad,Unad,Unad,Adju,Adju,Adju,Adju,
Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A,Year
Utah Jazz,35,11,0.761,9.46,118.9,109.13,9.77,9.9,118.94,108.75,10.19,2021
Los Angeles Clippers,32,16,0.667,6.69,119.36,112.63,6.73,6.75,119.23,112.44,6.79,2021
Phoenix Suns,31,14,0.689,6.38,116.27,109.64,6.63,6.04,115.79,109.48,6.3,2021
Milwaukee Bucks,29,17,0.63,6.04,117.24,111.48,5.76,5.9,117.28,111.68,5.6,2021
Denver Nuggets,28,18,0.609,5.09,118.89,113.72,5.17,5.03,118.82,113.7,5.12,2021
Philadelphia 76ers,32,14,0.696,5.24,113.62,108.45,5.17,5.04,113.49,108.52,4.96,2021
Los Angeles Lakers,30,17,0.638,4.68,111.42,106.89,4.53,3.92,111.27,107.49,3.78,2021
Brooklyn Nets,32,15,0.681,4.17,118.87,114.72,4.15,3.69,119.12,115.47,3.66,2021
Dallas Mavericks,24,21,0.533,1.22,115.54,114.14,1.39,1.75,115.54,113.58,1.96,2021
Atlanta Hawks,23,23,0.5,1.52,115.74,114.11,1.63,1.34,115.67,114.25,1.42,2021
Boston Celtics,23,24,0.489,1.02,114.85,114.01,0.84,1.41,114.92,113.7,1.22,2021
New Orleans Pelicans,21,25,0.457,0.7,117.45,116.83,0.62,1.12,117.5,116.43,1.08,2021
Indiana Pacers,21,24,0.467,0.11,112.47,112.22,0.25,0.62,112.57,111.83,0.75,2021
Memphis Grizzlies,22,22,0.5,0.36,111,110.75,0.25,0.59,111.37,110.89,0.49,2021
Golden State Warriors,23,24,0.489,-0.89,110.14,110.92,-0.78,-0.39,110.18,110.45,-0.27,2021
New York Knicks,24,23,0.511,0.34,109.6,109.34,0.26,-0.29,109.46,109.86,-0.4,2021
Toronto Raptors,18,29,0.383,-0.38,113.51,113.81,-0.3,-0.52,113.31,113.76,-0.45,2021
Charlotte Hornets,23,22,0.511,-0.69,112.79,113.44,-0.66,-0.68,113.07,113.69,-0.62,2021
Miami Heat,23,24,0.489,-1.28,109.37,110.58,-1.21,-1.09,109.29,110.33,-1.04,2021
Portland Trail Blazers,28,18,0.609,-0.72,117.37,118.22,-0.85,-1.28,117.32,118.7,-1.38,2021
Chicago Bulls,19,26,0.422,-1.27,111.67,112.91,-1.24,-1.63,111.61,113.21,-1.6,2021
San Antonio Spurs,23,21,0.523,-1.18,110.66,111.84,-1.18,-1.72,110.73,112.44,-1.71,2021
Sacramento Kings,22,25,0.468,-3.36,115.87,119.17,-3.31,-3.11,115.74,118.81,-3.08,2021
Detroit Pistons,13,33,0.283,-3.54,109.5,113.05,-3.55,-3.09,109.9,113.02,-3.11,2021
Washington Wizards,17,28,0.378,-4.6,110.23,114.8,-4.57,-4.03,110.35,114.37,-4.02,2021
Oklahoma City Thunder,19,27,0.413,-6.24,106.02,112.3,-6.27,-6.06,106.01,112.1,-6.09,2021
Orlando Magic,15,31,0.326,-6.65,106.27,113.12,-6.85,-6.86,106.18,113.23,-7.05,2021
Houston Rockets,13,33,0.283,-6.15,106.64,112.7,-6.06,-7.15,106.23,113.29,-7.06,2021
Minnesota Timberwolves,11,36,0.234,-7.94,107.43,115.14,-7.71,-7.76,107.55,115.09,-7.54,2021
Cleveland Cavaliers,17,30,0.362,-8.17,105.62,114.25,-8.63,-7.48,105.88,113.82,-7.94,2021
Milwaukee Bucks,56,17,0.767,10.08,112.98,103.36,9.62,9.41,112.69,103.73,8.96,2020
Los Angeles Clippers,49,23,0.681,6.44,114.66,108.25,6.41,6.66,114.56,107.94,6.62,2020
Los Angeles Lakers,52,19,0.732,5.79,112.78,107.14,5.65,6.28,112.83,106.68,6.16,2020
Toronto Raptors,53,19,0.736,6.24,112.02,105.85,6.18,5.97,111.99,106.08,5.9,2020
Boston Celtics,48,24,0.667,6.31,114.14,107.79,6.35,5.83,114.01,108.15,5.86,2020
Dallas Mavericks,43,32,0.573,4.95,117.5,112.53,4.97,4.87,117.41,112.52,4.9,2020
Houston Rockets,44,28,0.611,2.96,113.71,110.82,2.89,3.13,113.68,110.59,3.08,2020
Utah Jazz,44,28,0.611,2.47,113.14,110.48,2.66,2.52,113.09,110.38,2.71,2020
Miami Heat,44,29,0.603,2.95,113.29,110.36,2.93,2.59,113.22,110.65,2.58,2020
Oklahoma City Thunder,44,28,0.611,1.99,111.74,109.66,2.09,2.32,111.74,109.32,2.42,2020
Denver Nuggets,46,27,0.63,2.11,114.06,111.9,2.15,2.35,114.06,111.66,2.4,2020
Philadelphia 76ers,43,30,0.589,2.38,112.09,109.77,2.32,2.25,112.15,109.97,2.18,2020
Indiana Pacers,45,28,0.616,1.96,110.9,108.77,2.12,1.63,110.94,109.17,1.77,2020
Phoenix Suns,34,39,0.466,0.22,112.38,112.27,0.11,0.56,112.41,111.94,0.47,2020
New Orleans Pelicans,30,42,0.417,-1.29,111.42,112.62,-1.2,-0.55,111.73,112.18,-0.46,2020
Portland Trail Blazers,35,39,0.473,-1.15,114.26,115.41,-1.15,-0.61,114.48,115.09,-0.61,2020
San Antonio Spurs,32,39,0.451,-1.11,112.98,114.17,-1.2,-0.65,113.13,113.86,-0.73,2020
Memphis Grizzlies,34,39,0.466,-1.07,109.97,110.91,-0.94,-0.91,109.87,110.65,-0.78,2020
Brooklyn Nets,35,37,0.486,-0.57,109.68,110.25,-0.57,-1.01,109.63,110.64,-1.01,2020
Orlando Magic,33,40,0.452,-1.01,109.1,110.28,-1.18,-0.93,109.18,110.27,-1.09,2020
Sacramento Kings,31,41,0.431,-2.04,111.09,113.03,-1.94,-1.59,111.17,112.65,-1.48,2020
Minnesota Timberwolves,19,45,0.297,-4.3,108.91,113.03,-4.12,-4.02,108.9,112.73,-3.83,2020
Chicago Bulls,22,43,0.338,-3.08,107.6,110.74,-3.14,-4,107.22,111.29,-4.07,2020
Detroit Pistons,20,46,0.303,-3.56,109.96,113.59,-3.63,-4.38,109.77,114.23,-4.45,2020
Washington Wizards,25,47,0.347,-4.67,111.69,116.16,-4.46,-5.24,111.64,116.7,-5.05,2020
New York Knicks,21,45,0.318,-6.45,107.1,113.52,-6.42,-6.72,106.91,113.6,-6.7,2020
Charlotte Hornets,23,42,0.354,-6.75,107.32,114.21,-6.89,-7.04,107.38,114.56,-7.18,2020
Atlanta Hawks,20,47,0.299,-7.97,107.86,115.47,-7.61,-7.71,108.18,115.56,-7.37,2020
Cleveland Cavaliers,19,46,0.292,-7.89,108.14,116.2,-8.05,-7.77,108.46,116.41,-7.94,2020
Golden State Warriors,15,50,0.231,-8.71,105.93,114.66,-8.74,-8.12,105.98,114.11,-8.13,2020
Milwaukee Bucks,60,22,0.732,8.87,114.23,105.76,8.47,8.05,113.89,106.23,7.66,2019
Golden State Warriors,57,25,0.695,6.46,116.63,110.24,6.39,6.42,116.6,110.24,6.37,2019
Toronto Raptors,58,24,0.707,6.09,113.99,108,5.99,5.49,113.78,108.4,5.38,2019
Utah Jazz,50,32,0.61,5.26,111.35,106.11,5.24,5.29,111.23,105.94,5.28,2019
Houston Rockets,53,29,0.646,4.77,116.25,111.43,4.82,4.97,116.45,111.43,5.03,2019
Portland Trail Blazers,53,29,0.646,4.2,115.45,111.07,4.38,4.44,115.63,111.01,4.62,2019
Denver Nuggets,54,28,0.659,3.95,113.76,109.62,4.14,4.2,113.74,109.35,4.39,2019
Boston Celtics,49,33,0.598,4.44,112.78,108.35,4.43,3.9,112.57,108.69,3.88,2019
Oklahoma City Thunder,49,33,0.598,3.4,110.85,107.53,3.31,3.56,110.71,107.22,3.49,2019
Indiana Pacers,48,34,0.585,3.33,110.62,107.23,3.39,2.76,110.31,107.5,2.8,2019
Philadelphia 76ers,51,31,0.622,2.7,113.21,110.58,2.64,2.26,113.16,110.97,2.19,2019
San Antonio Spurs,48,34,0.585,1.68,113.3,111.55,1.75,1.81,113.3,111.42,1.88,2019
Los Angeles Clippers,48,34,0.585,0.85,113.14,112.33,0.81,1.09,113.29,112.22,1.06,2019
Orlando Magic,42,40,0.512,0.71,109.46,108.82,0.65,0.28,109.26,109.05,0.21,2019
Miami Heat,39,43,0.476,-0.23,108.22,108.35,-0.13,-0.45,108.03,108.39,-0.36,2019
Brooklyn Nets,42,40,0.512,-0.07,110.3,110.36,-0.06,-0.4,110.15,110.56,-0.41,2019
Detroit Pistons,41,41,0.5,-0.24,109.93,110.13,-0.2,-0.55,109.86,110.38,-0.53,2019
Sacramento Kings,39,43,0.476,-1.12,111.17,112.19,-1.02,-0.81,111.29,112,-0.71,2019
Dallas Mavericks,33,49,0.402,-1.28,110.19,111.41,-1.22,-0.86,110.29,111.08,-0.79,2019
Minnesota Timberwolves,36,46,0.439,-1.5,112.04,113.54,-1.51,-1.02,112.31,113.32,-1.01,2019
New Orleans Pelicans,33,49,0.402,-1.33,111.85,113.1,-1.25,-1.1,111.98,112.98,-1.01,2019
Los Angeles Lakers,37,45,0.451,-1.72,108.52,110.18,-1.66,-1.32,108.46,109.71,-1.26,2019
Charlotte Hornets,39,43,0.476,-1.1,112.1,113.16,-1.06,-1.31,112.11,113.41,-1.3,2019
Memphis Grizzlies,33,49,0.402,-2.6,106.96,109.66,-2.7,-2.08,106.93,109.09,-2.17,2019
Washington Wizards,32,50,0.39,-2.9,111.72,114.56,-2.84,-3.3,111.72,114.97,-3.25,2019
Atlanta Hawks,29,53,0.354,-6.02,108.71,114.41,-5.7,-6.06,108.83,114.59,-5.76,2019
Chicago Bulls,22,60,0.268,-8.41,105.45,113.94,-8.49,-8.32,105.49,113.9,-8.41,2019
Phoenix Suns,19,63,0.232,-9.34,106.29,115.55,-9.26,-8.61,106.59,115.11,-8.52,2019
New York Knicks,17,65,0.207,-9.21,105.13,114.39,-9.26,-8.92,105.31,114.3,-8.98,2019
Cleveland Cavaliers,19,63,0.232,-9.61,108.5,118.54,-10.04,-9.39,108.83,118.64,-9.82,2019
Houston Rockets,65,17,0.793,8.48,115.48,106.84,8.64,8.21,115.45,107.08,8.37,2018
Toronto Raptors,59,23,0.72,7.78,114.6,106.56,8.03,7.3,114.5,106.96,7.54,2018
Golden State Warriors,58,24,0.707,5.98,114.31,108.43,5.88,5.79,114.33,108.62,5.7,2018
Utah Jazz,48,34,0.585,4.3,109.07,104.56,4.51,4.47,108.92,104.24,4.68,2018
Philadelphia 76ers,52,30,0.634,4.5,110.28,105.77,4.51,4.3,110.12,105.81,4.31,2018
Oklahoma City Thunder,48,34,0.585,3.41,111.48,108.02,3.47,3.42,111.5,108.03,3.47,2018
Boston Celtics,55,27,0.671,3.59,108.4,104.65,3.75,3.24,108.14,104.75,3.39,2018
San Antonio Spurs,47,35,0.573,2.89,108.49,105.36,3.13,2.89,108.35,105.23,3.12,2018
Portland Trail Blazers,49,33,0.598,2.6,109.58,106.93,2.66,2.6,109.44,106.79,2.66,2018
Minnesota Timberwolves,47,35,0.573,2.23,114.24,111.86,2.38,2.35,114.41,111.91,2.5,2018
Denver Nuggets,46,36,0.561,1.48,113.02,111.4,1.62,1.57,113.21,111.5,1.71,2018
New Orleans Pelicans,48,34,0.585,1.3,110.29,109.05,1.24,1.48,110.37,108.95,1.42,2018
Indiana Pacers,48,34,0.585,1.38,110.24,108.8,1.44,1.18,110.17,108.94,1.24,2018
Cleveland Cavaliers,50,32,0.61,0.94,113.58,112.56,1.02,0.59,113.61,112.94,0.67,2018
Washington Wizards,43,39,0.524,0.59,109.96,109.41,0.55,0.53,110,109.49,0.5,2018
Miami Heat,44,38,0.537,0.48,107.63,107.12,0.51,0.15,107.47,107.28,0.18,2018
Los Angeles Clippers,42,40,0.512,0.04,110.97,111.02,-0.05,0.15,111.06,111,0.07,2018
Charlotte Hornets,36,46,0.439,0.26,109.95,109.72,0.23,0.07,109.93,109.89,0.04,2018
Detroit Pistons,39,43,0.476,-0.15,107.95,108.14,-0.19,-0.26,107.84,108.14,-0.3,2018
Milwaukee Bucks,44,38,0.537,-0.3,110.67,110.98,-0.31,-0.45,110.7,111.16,-0.46,2018
Los Angeles Lakers,35,47,0.427,-1.55,107.1,108.64,-1.54,-1.43,106.96,108.39,-1.43,2018
Dallas Mavericks,24,58,0.293,-3.04,106.92,110,-3.08,-2.7,106.96,109.7,-2.74,2018
New York Knicks,29,53,0.354,-3.56,107.72,111.36,-3.65,-3.53,107.77,111.38,-3.61,2018
Brooklyn Nets,28,54,0.341,-3.74,107.71,111.51,-3.8,-3.67,107.83,111.55,-3.72,2018
Orlando Magic,25,57,0.305,-4.82,105.83,110.85,-5.02,-4.92,105.77,110.88,-5.11,2018
Atlanta Hawks,24,58,0.293,-5.45,105.74,111.21,-5.47,-5.3,105.81,111.12,-5.31,2018
Memphis Grizzlies,22,60,0.268,-6.21,105.29,111.85,-6.57,-5.81,105.44,111.59,-6.15,2018
Chicago Bulls,27,55,0.329,-7.04,104.39,111.61,-7.22,-6.84,104.46,111.47,-7.01,2018
Sacramento Kings,27,55,0.329,-6.99,104.47,111.9,-7.43,-6.59,104.6,111.62,-7.02,2018
Phoenix Suns,21,61,0.256,-9.37,104.25,113.51,-9.26,-8.8,104.5,113.19,-8.69,2018
Golden State Warriors,67,15,0.817,11.63,116.26,104.57,11.69,11.35,116.02,104.61,11.41,2017
San Antonio Spurs,61,21,0.744,7.2,111.81,104.25,7.56,7.13,111.62,104.12,7.49,2017
Houston Rockets,55,27,0.671,5.77,115.59,109.96,5.63,5.84,115.7,109.98,5.72,2017
Los Angeles Clippers,51,31,0.622,4.29,113.38,108.88,4.5,4.42,113.46,108.82,4.64,2017
Utah Jazz,51,31,0.622,3.94,110.46,106.19,4.27,4,110.31,105.98,4.33,2017
Toronto Raptors,51,31,0.622,4.21,113.2,108.68,4.51,3.65,113.07,109.14,3.93,2017
Cleveland Cavaliers,51,31,0.622,3.18,114.25,110.99,3.27,2.88,114.33,111.38,2.95,2017
Boston Celtics,53,29,0.646,2.63,111.88,109.16,2.72,2.25,111.81,109.49,2.33,2017
Washington Wizards,49,33,0.598,1.8,111.98,110.06,1.92,1.36,111.96,110.49,1.46,2017
Oklahoma City Thunder,47,35,0.573,0.76,108.95,108.17,0.78,1.15,108.94,107.75,1.18,2017
Memphis Grizzlies,43,39,0.524,0.49,108.59,107.89,0.7,0.96,108.71,107.55,1.17,2017
Miami Heat,41,41,0.5,1.06,108.73,107.65,1.09,0.78,108.62,107.84,0.79,2017
Denver Nuggets,40,42,0.488,0.51,113.9,113.43,0.47,0.7,114.06,113.39,0.67,2017
Charlotte Hornets,36,46,0.439,0.2,109.57,109.31,0.25,-0.06,109.53,109.55,-0.02,2017
Chicago Bulls,41,41,0.5,0.43,108.04,107.72,0.32,0.03,107.91,107.98,-0.08,2017
Portland Trail Blazers,41,41,0.5,-0.52,110.93,111.46,-0.53,-0.23,111.09,111.31,-0.22,2017
Milwaukee Bucks,42,40,0.512,-0.18,109.92,110.16,-0.23,-0.44,109.96,110.46,-0.5,2017
Indiana Pacers,42,40,0.512,-0.22,109.33,109.49,-0.16,-0.64,109.21,109.81,-0.6,2017
Minnesota Timberwolves,31,51,0.378,-1.11,111.54,112.74,-1.2,-0.63,111.75,112.46,-0.71,2017
Atlanta Hawks,43,39,0.524,-0.85,105.55,106.54,-0.99,-1.23,105.32,106.69,-1.37,2017
Detroit Pistons,37,45,0.451,-1.12,106.53,107.9,-1.37,-1.29,106.39,107.93,-1.54,2017
New Orleans Pelicans,34,48,0.415,-2.1,105.81,108.01,-2.2,-1.69,105.79,107.57,-1.78,2017
Dallas Mavericks,33,49,0.402,-2.93,106.28,109.36,-3.08,-2.52,106.31,108.96,-2.65,2017
Sacramento Kings,32,50,0.39,-3.88,107.98,112.18,-4.21,-3.29,108.12,111.72,-3.59,2017
New York Knicks,31,51,0.378,-3.67,108.57,112.35,-3.77,-3.87,108.62,112.6,-3.98,2017
Phoenix Suns,24,58,0.293,-5.63,107.32,112.79,-5.47,-5.14,107.43,112.41,-4.98,2017
Philadelphia 76ers,28,54,0.341,-5.7,103.96,109.81,-5.85,-5.83,103.92,109.91,-5.99,2017
Los Angeles Lakers,26,56,0.317,-6.88,106.69,113.72,-7.02,-6.29,106.96,113.38,-6.42,2017
Brooklyn Nets,20,62,0.244,-6.73,104.61,111.34,-6.73,-6.74,104.63,111.37,-6.74,2017
Orlando Magic,29,53,0.354,-6.57,104.23,111.11,-6.88,-6.61,104.3,111.21,-6.92,2017
San Antonio Spurs,67,15,0.817,10.63,111.04,99.55,11.49,10.28,110.59,99.49,11.1,2016
Golden State Warriors,73,9,0.89,10.76,115.18,104.32,10.86,10.38,115.01,104.53,10.49,2016
Oklahoma City Thunder,55,27,0.671,7.28,113.76,106.22,7.54,7.09,113.64,106.29,7.35,2016
Cleveland Cavaliers,57,25,0.695,5.99,111.8,105.32,6.48,5.44,111.75,105.85,5.9,2016
Toronto Raptors,56,26,0.683,4.5,111.11,106.16,4.95,4.08,111.18,106.68,4.5,2016
Los Angeles Clippers,53,29,0.646,4.28,109.04,104.57,4.47,4.13,108.69,104.39,4.31,2016
Atlanta Hawks,48,34,0.585,3.61,105.75,102,3.75,3.49,105.74,102.12,3.62,2016
Boston Celtics,48,34,0.585,3.21,107.3,104.1,3.2,2.84,107.24,104.43,2.81,2016
Charlotte Hornets,48,34,0.585,2.72,107.72,105.01,2.71,2.36,107.67,105.33,2.34,2016
Utah Jazz,40,42,0.488,1.8,106.83,104.78,2.04,1.86,106.57,104.48,2.09,2016
Indiana Pacers,45,37,0.549,1.71,105.28,103.51,1.77,1.62,105.26,103.58,1.68,2016
Miami Heat,48,34,0.585,1.65,107.01,105.34,1.67,1.5,107.08,105.56,1.52,2016
Portland Trail Blazers,44,38,0.537,0.83,109.55,108.67,0.88,0.98,109.48,108.45,1.03,2016
Detroit Pistons,44,38,0.537,0.61,106.78,106.19,0.59,0.43,106.88,106.48,0.4,2016
Houston Rockets,41,41,0.5,0.2,109.23,109.1,0.13,0.34,109.26,108.96,0.3,2016
Dallas Mavericks,42,40,0.512,-0.3,107.29,107.48,-0.19,-0.02,107.24,107.13,0.11,2016
Washington Wizards,41,41,0.5,-0.5,106.09,106.48,-0.39,-0.49,106.23,106.62,-0.39,2016
Chicago Bulls,42,40,0.512,-1.48,105.85,107.28,-1.43,-1.46,106.02,107.44,-1.42,2016
Orlando Magic,35,47,0.427,-1.62,105.73,107.47,-1.74,-1.68,105.89,107.7,-1.8,2016
Memphis Grizzlies,42,40,0.512,-2.24,106.36,108.69,-2.33,-2.13,106.23,108.45,-2.22,2016
Sacramento Kings,33,49,0.402,-2.48,106.57,109.07,-2.5,-2.31,106.44,108.77,-2.33,2016
Denver Nuggets,33,49,0.402,-3.1,106.22,109.47,-3.25,-2.81,106.24,109.17,-2.94,2016
New York Knicks,32,50,0.39,-2.73,105.41,108.43,-3.03,-2.73,105.55,108.58,-3.02,2016
New Orleans Pelicans,30,52,0.366,-3.79,106.27,110.17,-3.89,-3.55,106.32,109.96,-3.63,2016
Minnesota Timberwolves,29,53,0.354,-3.54,107.17,111.02,-3.86,-3.38,107.17,110.86,-3.68,2016
Milwaukee Bucks,33,49,0.402,-4.18,105.06,109.65,-4.59,-3.98,105.32,109.69,-4.37,2016
Phoenix Suns,23,59,0.28,-6.66,102.94,109.8,-6.86,-6.32,102.95,109.45,-6.5,2016
Brooklyn Nets,21,61,0.256,-7.35,103.74,111.6,-7.86,-7.11,104.06,111.66,-7.61,2016
Los Angeles Lakers,17,65,0.207,-9.56,102.29,112.4,-10.12,-8.92,102.49,111.92,-9.43,2016
Philadelphia 76ers,10,72,0.122,-10.23,99.65,110.15,-10.5,-9.92,99.83,110.01,-10.18,2016
Golden State Warriors,67,15,0.817,10.1,112.18,101.86,10.32,10.01,111.9,101.67,10.23,2015
Los Angeles Clippers,56,26,0.683,6.59,113.21,106.22,6.98,6.8,113.35,106.14,7.21,2015
San Antonio Spurs,55,27,0.671,6.2,109.25,102.61,6.64,6.34,109.09,102.3,6.79,2015
Atlanta Hawks,60,22,0.732,5.43,110,103.98,6.02,4.75,109.85,104.56,5.29,2015
Portland Trail Blazers,51,31,0.622,4.23,108.81,104.3,4.5,4.41,108.72,104.03,4.69,2015
Cleveland Cavaliers,53,29,0.646,4.48,111.93,107.13,4.8,4.08,111.97,107.58,4.39,2015
Houston Rockets,56,26,0.683,3.44,107.87,104.26,3.61,3.82,107.86,103.85,4.01,2015
Memphis Grizzlies,55,27,0.671,3.24,106.44,102.9,3.55,3.62,106.35,102.41,3.94,2015
Dallas Mavericks,50,32,0.61,2.9,110.3,107.14,3.16,3.36,110.51,106.87,3.64,2015
Chicago Bulls,50,32,0.61,3,108.48,105.11,3.37,2.54,108.42,105.53,2.88,2015
Toronto Raptors,49,33,0.598,3.07,112.06,108.69,3.37,2.45,112.07,109.35,2.72,2015
Oklahoma City Thunder,45,37,0.549,2.18,108.41,106.18,2.24,2.47,108.42,105.89,2.54,2015
New Orleans Pelicans,45,37,0.549,0.79,108.95,108.15,0.8,1.13,109.04,107.88,1.16,2015
Utah Jazz,38,44,0.463,0.22,106.19,105.91,0.28,0.71,106.23,105.43,0.79,2015
Washington Wizards,46,36,0.561,0.72,104.56,103.73,0.83,0.17,104.38,104.13,0.25,2015
