"","GAME_DATE_EST","Home Team","Away Team","PTS_home","PTS_away","Spread","Total","OREB_home","OREB_away","OREB"
"1",2020-12-19,"Orlando Magic","Charlotte Hornets",120,117,3,237,13,11,24
"2",2020-12-19,"Washington Wizards","Detroit Pistons",99,96,3,195,4,8,12
"3",2020-12-19,"Memphis Grizzlies","Atlanta Hawks",116,117,-1,233,10,8,18
"4",2020-12-18,"Indiana Pacers","Philadelphia 76ers",107,113,-6,220,20,9,29
"5",2020-12-18,"Toronto Raptors","Miami Heat",105,117,-12,222,8,4,12
"6",2020-12-18,"New York Knicks","Cleveland Cavaliers",119,83,36,202,7,6,13
"7",2020-12-18,"Boston Celtics","Brooklyn Nets",89,113,-24,202,11,8,19
"8",2020-12-18,"New Orleans Pelicans","Milwaukee Bucks",127,113,14,240,15,12,27
"9",2020-12-18,"Oklahoma City Thunder","Chicago Bulls",103,105,-2,208,9,12,21
"10",2020-12-18,"Denver Nuggets","Portland Trail Blazers",129,96,33,225,17,11,28
"11",2020-12-18,"Phoenix Suns","Los Angeles Lakers",113,114,-1,227,9,3,12
"12",2020-12-17,"Orlando Magic","Charlotte Hornets",115,123,-8,238,13,10,23
"13",2020-12-17,"Washington Wizards","Detroit Pistons",86,97,-11,183,8,4,12
"14",2020-12-17,"Houston Rockets","San Antonio Spurs",128,106,22,234,5,9,14
"15",2020-12-17,"Memphis Grizzlies","Atlanta Hawks",128,106,22,234,11,8,19
"16",2020-12-17,"Dallas Mavericks","Minnesota Timberwolves",127,129,-2,256,8,12,20
"17",2020-12-17,"Sacramento Kings","Golden State Warriors",105,113,-8,218,9,9,18
"18",2020-12-17,"Los Angeles Clippers","Utah Jazz",105,125,-20,230,5,7,12
"19",2020-12-16,"New York Knicks","Cleveland Cavaliers",100,93,7,193,6,12,18
"20",2020-12-16,"Oklahoma City Thunder","Chicago Bulls",103,124,-21,227,11,9,20
"21",2020-12-16,"Denver Nuggets","Portland Trail Blazers",126,95,31,221,11,10,21
"22",2020-12-16,"Phoenix Suns","Los Angeles Lakers",107,112,-5,219,11,8,19
"23",2020-12-15,"Philadelphia 76ers","Boston Celtics",108,99,9,207,10,12,22
"24",2020-12-15,"Houston Rockets","San Antonio Spurs",112,98,14,210,11,11,22
"25",2020-12-15,"Sacramento Kings","Golden State Warriors",114,113,1,227,8,10,18
