"","GAME_DATE_EST","GAME_ID","GAME_STATUS_TEXT","HOME_TEAM_ID","VISITOR_TEAM_ID","SEASON","TEAM_ID_home","PTS_home","FG_PCT_home","FT_PCT_home","FG3_PCT_home","AST_home","REB_home","TEAM_ID_away","PTS_away","FG_PCT_away","FT_PCT_away","FG3_PCT_away","AST_away","REB_away","HOME_TEAM_WINS"
"1",2020-12-19,12000047,"Final",1610612753,1610612766,2020,1610612753,120,0.433,0.792,0.425,23,50,1610612766,117,0.444,0.864,0.439,21,52,1
"2",2020-12-19,12000048,"Final",1610612764,1610612765,2020,1610612764,99,0.427,0.625,0.295,24,45,1610612765,96,0.402,0.647,0.326,18,51,1
"3",2020-12-19,12000049,"Final",1610612763,1610612737,2020,1610612763,116,0.4,0.744,0.396,21,43,1610612737,117,0.422,0.837,0.297,24,47,0
"4",2020-12-18,12000039,"Final",1610612754,1610612755,2020,1610612754,107,0.371,0.692,0.262,19,45,1610612755,113,0.533,0.629,0.355,23,48,0
"5",2020-12-18,12000040,"Final",1610612761,1610612748,2020,1610612761,105,0.38,0.737,0.356,27,37,1610612748,117,0.534,0.741,0.514,30,51,0
"6",2020-12-18,12000042,"Final",1610612752,1610612739,2020,1610612752,119,0.513,0.788,0.517,27,41,1610612739,83,0.395,0.611,0.387,20,35,1
"7",2020-12-18,12000041,"Final",1610612738,1610612751,2020,1610612738,89,0.348,0.81,0.178,18,48,1610612751,113,0.432,0.778,0.457,26,53,0
"8",2020-12-18,12000043,"Final",1610612740,1610612749,2020,1610612740,127,0.512,0.614,0.364,25,51,1610612749,113,0.422,0.9,0.25,21,44,1
"9",2020-12-18,12000044,"Final",1610612760,1610612741,2020,1610612760,103,0.411,0.737,0.395,21,51,1610612741,105,0.424,0.588,0.268,27,56,0
"10",2020-12-18,12000045,"Final",1610612743,1610612757,2020,1610612743,129,0.474,0.778,0.409,30,53,1610612757,96,0.371,0.87,0.303,17,42,1
"11",2020-12-18,12000046,"Final",1610612756,1610612747,2020,1610612756,113,0.477,0.846,0.409,26,46,1610612747,114,0.506,0.593,0.533,25,33,0
"12",2020-12-17,12000032,"Final",1610612753,1610612766,2020,1610612753,115,0.474,0.917,0.324,26,53,1610612766,123,0.475,0.9,0.439,32,43,0
"13",2020-12-17,12000033,"Final",1610612764,1610612765,2020,1610612764,86,0.397,0.682,0.265,18,42,1610612765,97,0.494,0.583,0.4,20,42,0
"14",2020-12-17,12000034,"Final",1610612745,1610612759,2020,1610612745,128,0.527,0.929,0.395,26,42,1610612759,106,0.409,0.844,0.212,17,41,1
"15",2020-12-17,12000035,"Final",1610612763,1610612737,2020,1610612763,128,0.474,0.773,0.38,33,58,1610612737,106,0.381,0.864,0.289,25,46,1
"16",2020-12-17,12000036,"Final",1610612742,1610612750,2020,1610612742,127,0.424,0.92,0.455,28,45,1610612750,129,0.469,0.793,0.389,27,55,0
"17",2020-12-17,12000038,"Final",1610612758,1610612744,2020,1610612758,105,0.372,0.757,0.233,22,51,1610612744,113,0.424,0.833,0.465,20,54,0
"18",2020-12-17,12000037,"Final",1610612746,1610612762,2020,1610612746,105,0.461,0.87,0.5,23,37,1610612762,125,0.495,0.733,0.462,38,40,0
"19",2020-12-16,12000028,"Final",1610612752,1610612739,2020,1610612752,100,0.458,0.762,0.235,28,38,1610612739,93,0.402,0.778,0.5,23,44,1
"20",2020-12-16,12000029,"Final",1610612760,1610612741,2020,1610612760,103,0.381,0.68,0.324,22,46,1610612741,124,0.542,0.643,0.333,26,61,0
"21",2020-12-16,12000030,"Final",1610612743,1610612757,2020,1610612743,126,0.523,0.739,0.413,39,55,1610612757,95,0.378,0.75,0.265,20,33,1
"22",2020-12-16,12000031,"Final",1610612756,1610612747,2020,1610612756,107,0.407,0.8,0.31,26,45,1610612747,112,0.476,0.75,0.4,20,47,0
"23",2020-12-15,12000025,"Final",1610612755,1610612738,2020,1610612755,108,0.471,0.75,0.241,23,42,1610612738,99,0.434,0.727,0.282,19,42,1
