"TEAM_ID","NAME","LAST_5_AVG_PTS_home","LAST_5_AVG_PTS_away"
"1610612737","Atlanta Hawks",118,109.6
"1610612738","Boston Celtics",109.4,106
"1610612739","Cleveland Cavaliers",113,97.6
"1610612740","New Orleans Pelicans",114.2,115
"1610612741","Chicago Bulls",105.4,111.8
"1610612742","Dallas Mavericks",122.4,117.6
"1610612743","Denver Nuggets",117.6,106.6
"1610612744","Golden State Warriors",111,112.6
"1610612745","Houston Rockets",109.2,106.6
"1610612746","Los Angeles Clippers",104,98.8
"1610612747","Los Angeles Lakers",113.2,107.6
"1610612748","Miami Heat",104.2,109.6
"1610612749","Milwaukee Bucks",105.2,114.6
"1610612750","Minnesota Timberwolves",109.8,126.6
"1610612751","Brooklyn Nets",117,111.8
"1610612752","New York Knicks",104.4,107.6
"1610612753","Orlando Magic",116.2,109
"1610612754","Indiana Pacers",106.6,104
"1610612755","Philadelphia 76ers",109.2,114
"1610612756","Phoenix Suns",118,112.6
"1610612757","Portland Trail Blazers",116.4,100.2
"1610612758","Sacramento Kings",116.6,116.2
"1610612759","San Antonio Spurs",121,113.6
"1610612760","Oklahoma City Thunder",109.2,101.8
"1610612761","Toronto Raptors",94.8,110.4
"1610612762","Utah Jazz",118,111.8
"1610612763","Memphis Grizzlies",118.2,113.2
"1610612764","Washington Wizards",99.2,106
"1610612765","Detroit Pistons",100.2,96.6
"1610612766","Charlotte Hornets",106.4,117.2
